Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Chino Police Dept,CA,12,79792.0,291.0,1,9.0,52,229,2116.0,562,1319.0,235.0,364.7,1.3,11.3,65.2,287.0,2651.9,704.3,1653.0,294.5,chino,"chino,CA",16000US0613214
Contra Costa County Sheriff Department,CA,12,,472.0,10,25.0,120,317,2307.0,993,1298.0,16.0,,,,,,,,,,contra costa county,"contra costa county,CA",05000US06013
El Dorado County Sheriff Department,CA,12,,241.0,3,14.0,22,202,2024.0,766,1240.0,18.0,,,,,,,,,,el dorado county,"el dorado county,CA",05000US06017
Humboldt County Sheriff Department,CA,12,,115.0,2,10.0,31,72,1130.0,509,604.0,17.0,,,,,,,,,,humboldt county,"humboldt county,CA",05000US06023
Imperial County Sheriff Department,CA,12,,139.0,0,6.0,12,121,791.0,352,419.0,20.0,,,,,,,,,,imperial county,"imperial county,CA",05000US06025
Imperial Police Dept,CA,12,15126.0,7.0,0,0.0,2,5,73.0,17,50.0,6.0,46.3,0.0,0.0,13.2,33.1,482.6,112.4,330.6,39.7,imperial,"imperial,CA",16000US0636294
Kern County Sheriff Department,CA,12,,2179.0,22,85.0,490,1582,11713.0,4015,5592.0,2106.0,,,,,,,,,,kern county,"kern county,CA",05000US06029
Kings County Sheriff Department,CA,12,,183.0,1,13.0,19,150,515.0,207,263.0,45.0,,,,,,,,,,kings county,"kings county,CA",05000US06031
Lake County Sheriff Department,CA,12,,190.0,1,12.0,31,146,812.0,430,374.0,8.0,,,,,,,,,,lake county,"lake county,CA",05000US06033
Madera County Sheriff Department,CA,12,,353.0,0,14.0,19,320,1660.0,794,840.0,26.0,,,,,,,,,,madera county,"madera county,CA",05000US06039
Marin County Sheriff Department,CA,12,,107.0,0,3.0,25,79,733.0,218,511.0,4.0,,,,,,,,,,marin county,"marin county,CA",05000US06041
Mendocino County Sheriff Department,CA,12,,183.0,5,18.0,25,135,669.0,276,382.0,11.0,,,,,,,,,,mendocino county,"mendocino county,CA",05000US06045
Monterey County Sheriff Department,CA,12,,199.0,7,17.0,63,112,1336.0,523,792.0,21.0,,,,,,,,,,monterey county,"monterey county,CA",05000US06053
Monterey Police Dept,CA,12,28508.0,153.0,1,10.0,27,115,1016.0,274,704.0,38.0,536.7,3.5,35.1,94.7,403.4,3563.9,961.1,2469.5,133.3,monterey,"monterey,CA",16000US0648914
Nevada County Sheriff Department,CA,12,,144.0,1,8.0,8,127,703.0,355,338.0,10.0,,,,,,,,,,nevada county,"nevada county,CA",05000US06057
