Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Saraland Police Dept,AL,12,13470.0,35.0,1,2.0,9,23,549.0,53,462.0,34.0,259.8,7.4,14.8,66.8,170.7,4075.7,393.5,3429.8,252.4,saraland,"saraland,AL",04000US01
Scottsboro Police Dept,AL,12,14855.0,65.0,0,7.0,1,57,594.0,128,451.0,15.0,437.6,0.0,47.1,6.7,383.7,3998.7,861.7,3036.0,101.0,scottsboro,"scottsboro,AL",04000US01
Selma Police Dept,AL,12,20611.0,274.0,5,21.0,61,187,1778.0,539,1117.0,122.0,1329.4,24.3,101.9,296.0,907.3,8626.5,2615.1,5419.4,591.9,selma,"selma,AL",04000US01
Shelby County Sheriff Department,AL,12,,133.0,4,21.0,19,89,1270.0,297,888.0,85.0,,,,,,,,,,shelby county,"shelby county,AL",05000US01117
St. Clair County Sheriff Department,AL,8,,24.0,2,6.0,0,16,320.0,96,219.0,5.0,,,,,,,,,,st. clair county,"st. clair county,AL",05000US01115
Sylacauga Police Dept,AL,12,12729.0,33.0,1,7.0,1,24,646.0,203,431.0,12.0,259.3,7.9,55.0,7.9,188.5,5075.0,1594.8,3386.0,94.3,sylacauga,"sylacauga,AL",04000US01
Talladega County Sheriff Department,AL,12,,71.0,1,3.0,10,57,839.0,286,484.0,69.0,,,,,,,,,,talladega county,"talladega county,AL",05000US01121
Talladega Police Dept,AL,12,15631.0,107.0,1,9.0,21,76,1272.0,373,838.0,61.0,684.5,6.4,57.6,134.3,486.2,8137.7,2386.3,5361.1,390.3,talladega,"talladega,AL",
Troy Police Dept,AL,12,18097.0,115.0,3,5.0,18,89,890.0,251,592.0,47.0,635.5,16.6,27.6,99.5,491.8,4917.9,1387.0,3271.3,259.7,troy,"troy,AL",04000US01
Trussville Police Dept,AL,2,20028.0,0.0,0,0.0,0,0,10.0,8,0.0,2.0,,,,,,,,,,trussville,"trussville,AL",04000US01
Tuscaloosa County Sheriff Department,AL,12,,228.0,4,12.0,32,180,1541.0,449,981.0,111.0,,,,,,,,,,tuscaloosa county,"tuscaloosa county,AL",05000US01125
Tuscaloosa Police Dept,AL,12,91973.0,478.0,4,37.0,170,267,4349.0,1182,2965.0,202.0,519.7,4.3,40.2,184.8,290.3,4728.6,1285.2,3223.8,219.6,tuscaloosa,"tuscaloosa,AL",05000US01125
Vestavia Hills Police Dept,AL,12,34195.0,22.0,0,0.0,10,12,505.0,101,384.0,20.0,64.3,0.0,0.0,29.2,35.1,1476.8,295.4,1123.0,58.5,vestavia hills,"vestavia hills,AL",04000US01
Walker County Sheriff Department,AL,12,,99.0,0,5.0,7,87,935.0,370,495.0,70.0,,,,,,,,,,walker county,"walker county,AL",05000US01127
Anchorage Police Dept,AK,12,299143.0,2479.0,15,303.0,488,1673,10543.0,1158,8554.0,831.0,828.7,5.0,101.3,163.1,559.3,3524.4,387.1,2859.5,277.8,anchorage,"anchorage,AK",05000US02020
Fairbanks Police Dept,AK,12,32423.0,169.0,3,29.0,37,100,1379.0,130,1137.0,112.0,521.2,9.3,89.4,114.1,308.4,4253.2,400.9,3506.8,345.4,fairbanks,"fairbanks,AK",04000US02
Juneau Police Dept,AK,12,32553.0,115.0,0,9.0,16,90,1099.0,94,975.0,30.0,353.3,0.0,27.6,49.2,276.5,3376.0,288.8,2995.1,92.2,juneau,"juneau,AK",05000US02110
Apache County Sheriff Department,AZ,12,,55.0,0,2.0,3,50,204.0,99,99.0,6.0,,,,,,,,,,apache county,"apache county,AZ",05000US04001
Apache Junction Police Dept,AZ,12,36986.0,130.0,1,13.0,21,95,1025.0,236,719.0,70.0,351.5,2.7,35.1,56.8,256.9,2771.3,638.1,1944.0,189.3,apache junction,"apache junction,AZ",04000US04
Avondale Police Dept,AZ,12,78364.0,233.0,7,4.0,72,150,3682.0,685,2752.0,245.0,297.3,8.9,5.1,91.9,191.4,4698.6,874.1,3511.8,312.6,avondale,"avondale,AZ",04000US04
Buckeye Police Dept,AZ,12,52213.0,54.0,3,1.0,11,39,1372.0,374,924.0,74.0,103.4,5.7,1.9,21.1,74.7,2627.7,716.3,1769.7,141.7,buckeye,"buckeye,AZ",04000US04
Bullhead City Police Dept,AZ,12,40277.0,86.0,5,0.0,26,55,1626.0,330,1195.0,101.0,213.5,12.4,0.0,64.6,136.6,4037.0,819.3,2967.0,250.8,bullhead city,"bullhead city,AZ",04000US04
Camp Verde Marshal'S Office,AZ,12,11033.0,21.0,1,0.0,0,20,276.0,44,221.0,11.0,190.3,9.1,0.0,0.0,181.3,2501.6,398.8,2003.1,99.7,camp verde marshal's office,"camp verde marshal's office,AZ",04000US04
Casa Grande Police Dept,AZ,12,50132.0,211.0,3,4.0,46,158,2857.0,767,1934.0,156.0,420.9,6.0,8.0,91.8,315.2,5699.0,1530.0,3857.8,311.2,casa grande,"casa grande,AZ",04000US04
Chandler Police Dept,AZ,12,242721.0,628.0,4,64.0,149,411,6571.0,1147,5168.0,256.0,258.7,1.6,26.4,61.4,169.3,2707.2,472.6,2129.2,105.5,chandler,"chandler,AZ",04000US04
Chino Valley Police Agency,AZ,12,10981.0,77.0,2,3.0,1,71,219.0,45,162.0,12.0,701.2,18.2,27.3,9.1,646.6,1994.4,409.8,1475.3,109.3,chino valley police agency,"chino valley police agency,AZ",04000US04
Cochise County Sheriff Department,AZ,12,,338.0,2,8.0,16,312,847.0,298,492.0,57.0,,,,,,,,,,cochise county,"cochise county,AZ",05000US04003
Coconono County Sheriff Department,AZ,12,,75.0,2,7.0,2,64,501.0,177,306.0,18.0,,,,,,,,,,coconono county,"coconono county,AZ",04000US04
Coolidge Police Dept,AZ,12,12206.0,70.0,2,5.0,10,53,656.0,117,507.0,32.0,573.5,16.4,41.0,81.9,434.2,5374.4,958.5,4153.7,262.2,coolidge,"coolidge,AZ",04000US04
Cottonwood Police Dept,AZ,12,11434.0,51.0,0,0.0,7,44,411.0,37,357.0,17.0,446.0,0.0,0.0,61.2,384.8,3594.5,323.6,3122.3,148.7,cottonwood,"cottonwood,AZ",04000US04
Douglas Police Dept,AZ,12,17743.0,199.0,1,2.0,5,191,614.0,92,487.0,35.0,1121.6,5.6,11.3,28.2,1076.5,3460.5,518.5,2744.7,197.3,douglas,"douglas,AZ",04000US04
El Mirage Police Dept,AZ,12,32685.0,86.0,3,7.0,18,58,946.0,292,582.0,72.0,263.1,9.2,21.4,55.1,177.5,2894.3,893.4,1780.6,220.3,el mirage,"el mirage,AZ",04000US04
Eloy Police Dept,AZ,12,17149.0,84.0,1,7.0,9,67,569.0,179,358.0,32.0,489.8,5.8,40.8,52.5,390.7,3318.0,1043.8,2087.6,186.6,eloy,"eloy,AZ",04000US04
Flagstaff Police Dept,AZ,12,66633.0,262.0,0,28.0,45,189,2834.0,242,2533.0,59.0,393.2,0.0,42.0,67.5,283.6,4253.1,363.2,3801.4,88.5,flagstaff,"flagstaff,AZ",04000US04
Florence Police Dept,AZ,12,25795.0,29.0,0,0.0,1,28,224.0,47,169.0,8.0,112.4,0.0,0.0,3.9,108.5,868.4,182.2,655.2,31.0,florence,"florence,AZ",04000US04
Gila County Sheriff Department,AZ,12,,65.0,0,4.0,4,57,383.0,77,275.0,31.0,,,,,,,,,,gila county,"gila county,AZ",05000US04007
Gilbert Police Dept,AZ,12,214264.0,205.0,5,19.0,59,122,3386.0,726,2496.0,164.0,95.7,2.3,8.9,27.5,56.9,1580.3,338.8,1164.9,76.5,gilbert,"gilbert,AZ",04000US04
Glendale Police Dept,AZ,12,232997.0,1145.0,12,54.0,413,666,14934.0,2847,10863.0,1224.0,491.4,5.2,23.2,177.3,285.8,6409.5,1221.9,4662.3,525.3,glendale,"glendale,AZ",04000US04
Goodyear Police Dept,AZ,12,67033.0,103.0,0,12.0,24,67,1774.0,479,1188.0,107.0,153.7,0.0,17.9,35.8,100.0,2646.5,714.6,1772.3,159.6,goodyear,"goodyear,AZ",
Kingman Police Dept,AZ,12,28588.0,93.0,0,9.0,8,76,1775.0,406,1269.0,100.0,325.3,0.0,31.5,28.0,265.8,6208.9,1420.2,4438.9,349.8,kingman,"kingman,AZ",04000US04
Lake Havasu City Police Dept,AZ,12,53513.0,58.0,2,10.0,7,39,1356.0,256,1012.0,88.0,108.4,3.7,18.7,13.1,72.9,2534.0,478.4,1891.1,164.4,lake havasu city,"lake havasu city,AZ",04000US04
Marana Police Dept,AZ,12,35617.0,35.0,0,0.0,13,22,1157.0,126,936.0,95.0,98.3,0.0,0.0,36.5,61.8,3248.4,353.8,2628.0,266.7,marana,"marana,AZ",04000US04
Maricopa County Sheriff Department,AZ,12,,919.0,8,56.0,73,782,4465.0,1210,2847.0,408.0,,,,,,,,,,maricopa county,"maricopa county,AZ",05000US04013
