county,county_fips,place,place_fips,state_fips,Unnamed: 0,Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name,name
,,,,18,2042,Tilton Police Dept,IN,12,2720.0,11.0,0,3.0,2,6,55.0,19,32.0,4,404.4,0.0,110.3,73.5,220.6,2022.1,698.5,1176.5,147.1,tilton,"tilton, in"
,,,,18,2043,Tinley Park Police Dept,IN,12,56992.0,43.0,1,6.0,11,25,839.0,108,710.0,21,75.4,1.8,10.5,19.3,43.9,1472.1,189.5,1245.8,36.8,tinley park,"tinley park, in"
,,,,18,2044,Tolono Police Dept,IN,12,3461.0,4.0,0,1.0,0,3,62.0,17,43.0,2,115.6,0.0,28.9,0.0,86.7,1791.4,491.2,1242.4,57.8,tolono,"tolono, in"
,,,,18,2045,Tonica Police Dept,IN,12,765.0,1.0,0,0.0,0,1,5.0,4,1.0,0,130.7,0.0,0.0,0.0,130.7,653.6,522.9,130.7,0.0,tonica,"tonica, in"
,,,,18,2046,Tower Lakes Police Dept,IN,12,1288.0,0.0,0,0.0,0,0,7.0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,543.5,0.0,543.5,0.0,tower lakes,"tower lakes, in"
,,,,18,2047,Troy City Police Dept,IN,11,9863.0,15.0,0,3.0,2,10,90.0,16,69.0,5,,,,,,,,,,troy city,"troy city, in"
,,,,18,2048,Tuscola Police Dept,IN,12,4449.0,25.0,0,0.0,0,25,69.0,30,38.0,1,561.9,0.0,0.0,0.0,561.9,1550.9,674.3,854.1,22.5,tuscola,"tuscola, in"
union county,161,,,18,2049,Union County Sheriff Department,IN,12,,12.0,0,0.0,0,12,94.0,17,73.0,4,,,,,,,,,,union county,"union county, in"
,,,,18,2050,Urbana Police Dept,IN,12,41537.0,148.0,0,20.0,68,60,1443.0,416,974.0,53,356.3,0.0,48.1,163.7,144.4,3474.0,1001.5,2344.9,127.6,urbana,"urbana, in"
,,,,18,2051,Valmeyer Police Dept,IN,12,1276.0,0.0,0,0.0,0,0,10.0,3,7.0,0,0.0,0.0,0.0,0.0,0.0,783.7,235.1,548.6,0.0,valmeyer,"valmeyer, in"
,,,,18,2052,Vandalia Police Dept,IN,12,7043.0,31.0,0,6.0,0,25,210.0,52,151.0,7,440.2,0.0,85.2,0.0,355.0,2981.7,738.3,2144.0,99.4,vandalia,"vandalia, in"
,,,,18,2053,Vermilion County Sheriff Department,IN,12,,49.0,1,10.0,0,38,600.0,178,390.0,32,,,,,,,,,,vermilion county,"vermilion county, in"
,,,,18,2054,Vernon Hills Police Dept,IN,12,25223.0,18.0,0,7.0,1,10,576.0,36,532.0,8,71.4,0.0,27.8,4.0,39.6,2283.6,142.7,2109.2,31.7,vernon hills,"vernon hills, in"
,,,,18,2055,Vienna City Police Dept,IN,12,1443.0,4.0,0,1.0,0,3,42.0,3,38.0,1,277.2,0.0,69.3,0.0,207.9,2910.6,207.9,2633.4,69.3,vienna city,"vienna city, in"
,,,,18,2056,Village Of Villa Park Police Dept,IN,12,22067.0,40.0,0,5.0,17,18,454.0,73,360.0,21,181.3,0.0,22.7,77.0,81.6,2057.4,330.8,1631.4,95.2,village of villa park,"village of villa park, in"
,,,,18,2057,Virden Police Dept,IN,12,3482.0,11.0,0,3.0,0,8,63.0,6,54.0,3,315.9,0.0,86.2,0.0,229.8,1809.3,172.3,1550.8,86.2,virden,"virden, in"
,,,,51,2058,Virginia Police Dept,IN,12,1604.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,virginia,"virginia, in"
wabash county,169,,,18,2059,Wabash County Sheriff Department,IN,12,,2.0,0,0.0,0,2,40.0,11,27.0,2,,,,,,,,,,wabash county,"wabash county, in"
warren county,171,,,18,2060,Warren County Sheriff Department,IN,12,,4.0,0,0.0,0,4,94.0,38,55.0,1,,,,,,,,,,warren county,"warren county, in"
,,,,18,2061,Warrensburg Village Police Dept,IN,12,1210.0,5.0,0,0.0,0,5,13.0,5,8.0,0,413.2,0.0,0.0,0.0,413.2,1074.4,413.2,661.2,0.0,warrensburg village,"warrensburg village, in"
,,,,18,2062,Warrenville Police Dept,IN,12,13238.0,5.0,0,2.0,1,2,155.0,20,132.0,3,37.8,0.0,15.1,7.6,15.1,1170.9,151.1,997.1,22.7,warrenville,"warrenville, in"
,,warsaw city,80306,18,2063,Warsaw,IN,12,1602.0,0.0,0,0.0,0,0,32.0,3,28.0,1,0.0,0.0,0.0,0.0,0.0,1997.5,187.3,1747.8,62.4,warsaw,"warsaw, in"
,,washington city,80504,18,2064,Washington City Police Dept,IN,12,15172.0,22.0,0,3.0,3,16,155.0,40,109.0,6,145.0,0.0,19.8,19.8,105.5,1021.6,263.6,718.4,39.5,washington city,"washington city, in"
washington county,175,,,18,2065,Washington County Sheriff Department,IN,9,,32.0,0,0.0,0,32,41.0,12,29.0,0,,,,,,,,,,washington county,"washington county, in"
,,,,18,2066,Village Of Washington Park Police Dept,IN,12,4201.0,130.0,2,7.0,40,81,151.0,34,80.0,37,3094.5,47.6,166.6,952.2,1928.1,3594.4,809.3,1904.3,880.7,village of washington park,"village of washington park, in"
,,waterloo town,81278,18,2067,Waterloo Police Dept,IN,12,9922.0,0.0,0,0.0,0,0,59.0,3,56.0,0,0.0,0.0,0.0,0.0,0.0,594.6,30.2,564.4,0.0,waterloo,"waterloo, in"
,,,,18,2068,Watseka Police Dept,IN,12,5212.0,6.0,0,1.0,1,4,159.0,34,122.0,3,115.1,0.0,19.2,19.2,76.7,3050.7,652.3,2340.8,57.6,watseka,"watseka, in"
,,,,18,2069,Wauconda Police Dept,IN,12,13662.0,10.0,0,1.0,1,8,156.0,19,131.0,6,73.2,0.0,7.3,7.3,58.6,1141.9,139.1,958.9,43.9,wauconda,"wauconda, in"
,,,,18,2070,Waukegan Police Dept,IN,12,89468.0,420.0,2,47.0,160,211,2688.0,625,1999.0,64,469.4,2.2,52.5,178.8,235.8,3004.4,698.6,2234.3,71.5,waukegan,"waukegan, in"
,,,,18,2071,Waverly Police Dept,IN,12,1308.0,2.0,0,0.0,0,2,9.0,4,5.0,0,152.9,0.0,0.0,0.0,152.9,688.1,305.8,382.3,0.0,waverly,"waverly, in"
wayne county,177,,,18,2072,Wayne County Sheriff Department,IN,12,,17.0,0,0.0,0,17,122.0,39,81.0,2,,,,,,,,,,wayne county,"wayne county, in"
,,,,18,2073,Wayne Village Police Dept,IN,12,2450.0,0.0,0,0.0,0,0,15.0,6,7.0,2,0.0,0.0,0.0,0.0,0.0,612.2,244.9,285.7,81.6,wayne village,"wayne village, in"
,,,,18,2074,West Chicago Police Dept,IN,12,27286.0,24.0,0,8.0,5,11,349.0,61,264.0,24,88.0,0.0,29.3,18.3,40.3,1279.0,223.6,967.5,88.0,west chicago,"west chicago, in"
,,,,18,2075,West City Police Dept,IN,12,663.0,11.0,0,0.0,2,9,57.0,15,40.0,2,1659.1,0.0,0.0,301.7,1357.5,8597.3,2262.4,6033.2,301.7,west city,"west city, in"
,,,,18,2076,West Dundee Police Dept,IN,12,7405.0,4.0,0,0.0,2,2,250.0,9,234.0,7,54.0,0.0,0.0,27.0,27.0,3376.1,121.5,3160.0,94.5,west dundee,"west dundee, in"
,,,,18,2077,West Frankfort Police Dept,IN,12,8196.0,25.0,0,4.0,5,16,119.0,46,63.0,10,305.0,0.0,48.8,61.0,195.2,1451.9,561.2,768.7,122.0,west frankfort,"west frankfort, in"
,,,,18,2078,Westchester Police Dept,IN,12,16798.0,15.0,1,3.0,5,6,242.0,81,154.0,7,89.3,6.0,17.9,29.8,35.7,1440.6,482.2,916.8,41.7,westchester,"westchester, in"
,,,,18,2079,Western Springs Police Dept,IN,12,13039.0,1.0,0,0.0,0,1,49.0,5,42.0,2,7.7,0.0,0.0,0.0,7.7,375.8,38.3,322.1,15.3,western springs,"western springs, in"
,,,,18,2080,Westmont Police Dept,IN,12,24867.0,27.0,0,4.0,15,8,389.0,62,300.0,27,108.6,0.0,16.1,60.3,32.2,1564.3,249.3,1206.4,108.6,westmont,"westmont, in"
,,westville town,83420,18,2081,Westville Police Dept,IN,12,3199.0,8.0,0,2.0,0,6,53.0,12,36.0,5,250.1,0.0,62.5,0.0,187.6,1656.8,375.1,1125.4,156.3,westville,"westville, in"
,,,,18,2082,Wheaton Police Dept,IN,12,53263.0,12.0,1,1.0,3,7,580.0,96,474.0,10,22.5,1.9,1.9,5.6,13.1,1088.9,180.2,889.9,18.8,wheaton,"wheaton, in"
,,,,18,2083,Wheeling Police Dept,IN,12,37830.0,31.0,0,2.0,8,21,540.0,102,425.0,13,81.9,0.0,5.3,21.1,55.5,1427.4,269.6,1123.4,34.4,wheeling,"wheeling, in"
white county,181,,,18,2084,White County Sheriff Department,IN,12,,15.0,2,1.0,0,12,132.0,35,87.0,10,,,,,,,,,,white county,"white county, in"
,,,,18,2085,White Hall Police Dept,IN,12,2505.0,17.0,0,0.0,0,17,38.0,12,26.0,0,678.6,0.0,0.0,0.0,678.6,1517.0,479.0,1037.9,0.0,white hall,"white hall, in"
,,,,18,2086,Whiteside County Sheriff Department,IN,12,,18.0,0,1.0,0,17,251.0,65,178.0,8,,,,,,,,,,whiteside county,"whiteside county, in"
,,,,18,2087,Will County Sheriff Department,IN,12,,154.0,6,24.0,26,98,1426.0,521,827.0,78,,,,,,,,,,will county,"will county, in"
,,,,18,2088,Williamson County Sheriff Department,IN,12,,18.0,0,6.0,3,9,334.0,103,205.0,26,,,,,,,,,,williamson county,"williamson county, in"
,,,,18,2089,Willow Springs Police Dept,IN,12,5551.0,4.0,0,0.0,2,2,37.0,10,25.0,2,72.1,0.0,0.0,36.0,36.0,666.5,180.1,450.4,36.0,willow springs,"willow springs, in"
,,,,18,2090,Willowbrook Police Dept,IN,12,8602.0,16.0,0,0.0,5,11,185.0,14,160.0,11,186.0,0.0,0.0,58.1,127.9,2150.7,162.8,1860.0,127.9,willowbrook,"willowbrook, in"
,,,,18,2091,Wilmette Police Dept,IN,12,27219.0,11.0,0,1.0,5,5,420.0,99,320.0,1,40.4,0.0,3.7,18.4,18.4,1543.0,363.7,1175.6,3.7,wilmette,"wilmette, in"
,,,,18,2092,Wilmington Police Dept,IN,12,5760.0,20.0,0,8.0,1,11,122.0,15,105.0,2,347.2,0.0,138.9,17.4,191.0,2118.1,260.4,1822.9,34.7,wilmington,"wilmington, in"
,,winfield town,84878,18,2093,Winfield Police Dept,IN,12,9149.0,0.0,0,0.0,0,0,54.0,9,44.0,1,0.0,0.0,0.0,0.0,0.0,590.2,98.4,480.9,10.9,winfield,"winfield, in"
,,,,18,2094,Village Of Winnebage Police Dept,IN,12,3088.0,3.0,0,1.0,0,2,60.0,8,52.0,0,97.2,0.0,32.4,0.0,64.8,1943.0,259.1,1683.9,0.0,village of winnebage,"village of winnebage, in"
,,,,18,2095,Winnebago County Sheriff Office,IN,12,,139.0,1,35.0,19,84,1026.0,340,625.0,61,,,,,,,,,,winnebago county,"winnebago county, in"
,,,,18,2096,Winnetka Police Dept,IN,12,12247.0,4.0,0,0.0,1,3,169.0,34,132.0,3,32.7,0.0,0.0,8.2,24.5,1379.9,277.6,1077.8,24.5,winnetka,"winnetka, in"
,,,,18,2097,Winthrop Harbor Police Dept,IN,12,6773.0,15.0,0,5.0,2,8,100.0,15,82.0,3,221.5,0.0,73.8,29.5,118.1,1476.5,221.5,1210.7,44.3,winthrop harbor,"winthrop harbor, in"
,,,,18,2098,Witt Police Dept,IN,12,896.0,0.0,0,0.0,0,0,3.0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,334.8,111.6,223.2,0.0,witt,"witt, in"
,,,,18,2099,Wood Dale Police Dept,IN,12,13871.0,6.0,0,0.0,0,6,222.0,45,169.0,8,43.3,0.0,0.0,0.0,43.3,1600.5,324.4,1218.4,57.7,wood dale,"wood dale, in"
,,,,18,2100,Wood River Police Dept,IN,12,10630.0,29.0,1,4.0,6,18,444.0,53,376.0,15,272.8,9.4,37.6,56.4,169.3,4176.9,498.6,3537.2,141.1,wood river,"wood river, in"
,,,,18,2101,Woodford County Sheriff Department,IN,12,,11.0,0,3.0,0,8,198.0,50,140.0,8,,,,,,,,,,woodford county,"woodford county, in"
,,,,18,2102,Woodhull Police Dept,IN,12,810.0,0.0,0,0.0,0,0,4.0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,493.8,493.8,0.0,0.0,woodhull,"woodhull, in"
,,,,18,2103,Woodridge Police Dept,IN,12,33215.0,38.0,1,7.0,15,15,523.0,50,442.0,31,114.4,3.0,21.1,45.2,45.2,1574.6,150.5,1330.7,93.3,woodridge,"woodridge, in"
,,,,18,2104,Woodstock Police Dept,IN,12,24797.0,37.0,0,3.0,5,29,381.0,41,337.0,3,149.2,0.0,12.1,20.2,116.9,1536.5,165.3,1359.0,12.1,woodstock,"woodstock, in"
,,,,18,2105,Worth Police Dept,IN,12,10840.0,5.0,0,0.0,0,5,121.0,27,87.0,7,46.1,0.0,0.0,0.0,46.1,1116.2,249.1,802.6,64.6,worth,"worth, in"
,,,,18,2106,Yorkville Police Dept,IN,12,17206.0,22.0,1,13.0,1,7,258.0,32,225.0,1,127.9,5.8,75.6,5.8,40.7,1499.5,186.0,1307.7,5.8,yorkville,"yorkville, in"
,,,,18,2107,Zeigler Police Dept,IN,12,1805.0,85.0,0,0.0,0,85,64.0,27,37.0,0,4709.1,0.0,0.0,0.0,4709.1,3545.7,1495.8,2049.9,0.0,zeigler,"zeigler, in"
,,,,18,2108,Zion Police Dept,IN,12,24519.0,145.0,1,33.0,24,87,1037.0,418,585.0,34,591.4,4.1,134.6,97.9,354.8,4229.4,1704.8,2385.9,138.7,zion,"zion, in"
,,abilene city,125,20,2109,Abilene Police Dept,KS,12,6874.0,13.0,0,4.0,1,8,213.0,31,178.0,4,189.1,0.0,58.2,14.5,116.4,3098.6,451.0,2589.5,58.2,abilene,"abilene, ks"
,,,,20,2110,Adair County Sheriff Department,KS,12,,9.0,0,0.0,2,7,29.0,14,14.0,1,,,,,,,,,,adair county,"adair county, ks"
,,,,20,2111,Albany City Police Dept,KS,11,2021.0,0.0,0,0.0,0,0,10.0,2,4.0,4,,,,,,,,,,albany city,"albany city, ks"
,,,,20,2112,Alexandria Police Dept,KS,12,8557.0,3.0,0,2.0,0,1,197.0,26,161.0,10,35.1,0.0,23.4,0.0,11.7,2302.2,303.8,1881.5,116.9,alexandria,"alexandria, ks"
allen county,001,,,20,2113,Allen County Sheriff Department,KS,12,,4.0,0,1.0,0,3,78.0,17,57.0,4,,,,,,,,,,allen county,"allen county, ks"
allen county,001,,,20,2114,Allen County Sheriff Office,KS,12,,3.0,0,1.0,1,1,110.0,44,56.0,10,,,,,,,,,,allen county,"allen county, ks"
,,altamont city,1550,20,2115,Altamont Police Dept,KS,12,1081.0,1.0,0,0.0,0,1,12.0,5,7.0,0,92.5,0.0,0.0,0.0,92.5,1110.1,462.5,647.5,0.0,altamont,"altamont, ks"
,,,,20,2116,Anchorage City Police Dept,KS,12,2372.0,1.0,0,0.0,0,1,35.0,5,30.0,0,42.2,0.0,0.0,0.0,42.2,1475.5,210.8,1264.8,0.0,anchorage city,"anchorage city, ks"
,,andale city,1775,20,2117,Andale Police Dept,KS,11,938.0,0.0,0,0.0,0,0,9.0,1,8.0,0,,,,,,,,,,andale,"andale, ks"
anderson county,003,,,20,2118,Anderson County Sheriff Office,KS,12,,8.0,0,0.0,0,8,82.0,44,32.0,6,,,,,,,,,,anderson county,"anderson county, ks"
anderson county,003,,,20,2119,Anderson County Sheriff Office,KS,12,,3.0,0,1.0,1,1,43.0,18,21.0,4,,,,,,,,,,anderson county,"anderson county, ks"
,,andover city,1800,20,2120,Andover Police Dept,KS,12,11839.0,13.0,0,3.0,1,9,281.0,14,254.0,13,109.8,0.0,25.3,8.4,76.0,2373.5,118.3,2145.5,109.8,andover,"andover, ks"
,,anthony city,1975,20,2121,Anthony Police Dept,KS,12,2265.0,5.0,0,1.0,0,4,52.0,9,40.0,3,220.8,0.0,44.2,0.0,176.6,2295.8,397.4,1766.0,132.5,anthony,"anthony, ks"
,,,,05,2122,Arkansas Police Dept,KS,12,12464.0,70.0,0,7.0,2,61,534.0,126,385.0,23,561.6,0.0,56.2,16.0,489.4,4284.3,1010.9,3088.9,184.5,arkansas,"arkansas, ks"
,,arma city,2375,20,2123,Arma Police Dept,KS,12,1492.0,1.0,1,0.0,0,0,22.0,4,17.0,1,67.0,67.0,0.0,0.0,0.0,1474.5,268.1,1139.4,67.0,arma,"arma, ks"
,,ashland city,2675,20,2124,Ashland Police Dept,KS,12,21707.0,56.0,0,4.0,30,22,1298.0,274,992.0,32,258.0,0.0,18.4,138.2,101.3,5979.6,1262.3,4570.0,147.4,ashland,"ashland, ks"
,,assaria city,2850,20,2125,Assaria Police Dept,KS,12,418.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,assaria,"assaria, ks"
atchison county,005,,,20,2126,Atchison County Sheriff Department,KS,9,,8.0,0,0.0,0,8,24.0,16,6.0,2,,,,,,,,,,atchison county,"atchison county, ks"
atchison county,005,atchison city,2900,20,2127,Atchison Police Dept,KS,12,10999.0,49.0,0,2.0,6,41,443.0,91,333.0,19,445.5,0.0,18.2,54.6,372.8,4027.6,827.3,3027.5,172.7,atchison,"atchison, ks"
,,attica city,3100,20,2128,Attica Police Dept,KS,10,625.0,1.0,0,0.0,0,1,16.0,4,12.0,0,,,,,,,,,,attica,"attica, ks"
,,atwood city,3150,20,2129,Atwood Police Dept,KS,11,1197.0,2.0,0,0.0,1,1,14.0,4,8.0,2,,,,,,,,,,atwood,"atwood, ks"
,,auburn city,3250,20,2130,Auburn City Police Dept,KS,12,1340.0,1.0,0,0.0,0,1,12.0,3,8.0,1,74.6,0.0,0.0,0.0,74.6,895.5,223.9,597.0,74.6,auburn city,"auburn city, ks"
,,,,20,2131,City Of Audubon Park Police Dept,KS,12,1490.0,1.0,0,0.0,0,1,69.0,20,46.0,3,67.1,0.0,0.0,0.0,67.1,4630.9,1342.3,3087.2,201.3,city of audubon park,"city of audubon park, ks"
,,,,20,2132,Augusta Dept Of Public Safety,KS,12,9312.0,25.0,0,2.0,1,22,327.0,61,257.0,9,268.5,0.0,21.5,10.7,236.3,3511.6,655.1,2759.9,96.6,augusta dept of public safety,"augusta dept of public safety, ks"
,,augusta city,3300,20,2133,Augusta Police Dept,KS,12,1197.0,1.0,0,1.0,0,0,28.0,7,21.0,0,83.5,0.0,83.5,0.0,0.0,2339.2,584.8,1754.4,0.0,augusta,"augusta, ks"
,,baldwin city city,3900,20,2134,Baldwin City Police Dept,KS,12,4592.0,2.0,0,1.0,0,1,88.0,18,69.0,1,43.6,0.0,21.8,0.0,21.8,1916.4,392.0,1502.6,21.8,baldwin city,"baldwin city, ks"
,,,,20,2135,Ballard County Sheriff Office,KS,12,,8.0,0,1.0,0,7,148.0,41,100.0,7,,,,,,,,,,ballard county,"ballard county, ks"
barber county,007,,,20,2136,Barber County Sheriff Department,KS,12,,5.0,0,0.0,0,5,46.0,4,36.0,6,,,,,,,,,,barber county,"barber county, ks"
,,,,20,2137,Barbourville Police Dept,KS,12,3178.0,3.0,0,0.0,1,2,45.0,11,31.0,3,94.4,0.0,0.0,31.5,62.9,1416.0,346.1,975.5,94.4,barbourville,"barbourville, ks"
,,,,20,2138,Bardstown Police Dept,KS,12,11869.0,22.0,0,6.0,8,8,469.0,125,319.0,25,185.4,0.0,50.6,67.4,67.4,3951.5,1053.2,2687.7,210.6,bardstown,"bardstown, ks"
,,,,20,2139,Bardwell Police Dept,KS,12,717.0,0.0,0,0.0,0,0,2.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,278.9,139.5,139.5,0.0,bardwell,"bardwell, ks"
,,,,20,2140,Barren County Sheriff Office,KS,12,,4.0,0,1.0,0,3,79.0,36,36.0,7,,,,,,,,,,barren county,"barren county, ks"
barton county,009,,,20,2141,Barton County Sheriff Department,KS,12,,11.0,0,1.0,1,9,151.0,57,87.0,7,,,,,,,,,,barton county,"barton county, ks"
,,basehor city,4400,20,2142,Basehor Police Dept,KS,12,4716.0,1.0,0,0.0,1,0,38.0,5,31.0,2,21.2,0.0,0.0,21.2,0.0,805.8,106.0,657.3,42.4,basehor,"basehor, ks"
,,baxter springs city,4625,20,2143,Baxter Springs Police Dept,KS,12,4216.0,2.0,0,0.0,0,2,117.0,37,77.0,3,47.4,0.0,0.0,0.0,47.4,2775.1,877.6,1826.4,71.2,baxter springs,"baxter springs, ks"
,,,,20,2144,Beattyville Police Dept,KS,12,1299.0,2.0,0,1.0,0,1,9.0,3,6.0,0,154.0,0.0,77.0,0.0,77.0,692.8,230.9,461.9,0.0,beattyville,"beattyville, ks"
,,,,20,2145,Beaver Dam Police Dept,KS,12,3454.0,1.0,0,0.0,0,1,52.0,8,44.0,0,29.0,0.0,0.0,0.0,29.0,1505.5,231.6,1273.9,0.0,beaver dam,"beaver dam, ks"
,,bel aire city,5337,20,2146,Bel Aire Police Dept,KS,12,6841.0,3.0,0,1.0,0,2,48.0,18,27.0,3,43.9,0.0,14.6,0.0,29.2,701.7,263.1,394.7,43.9,bel aire,"bel aire, ks"
,,,,20,2147,Bell County Sheriff Department,KS,12,,9.0,0,2.0,4,3,106.0,53,43.0,10,,,,,,,,,,bell county,"bell county, ks"
,,belle plaine city,5500,20,2148,Belle Plaine Police Dept,KS,12,1665.0,5.0,0,0.0,0,5,13.0,8,4.0,1,300.3,0.0,0.0,0.0,300.3,780.8,480.5,240.2,60.1,belle plaine,"belle plaine, ks"
,,belleville city,5600,20,2149,Belleville City Police Dept,KS,10,1973.0,1.0,0,0.0,0,1,22.0,5,13.0,4,,,,,,,,,,belleville city,"belleville city, ks"
,,,,20,2150,Bellevue Police Dept,KS,12,6011.0,12.0,0,1.0,5,6,234.0,62,161.0,11,199.6,0.0,16.6,83.2,99.8,3892.9,1031.4,2678.4,183.0,bellevue,"bellevue, ks"
,,beloit city,5775,20,2151,Beloit Police Dept,KS,12,3808.0,12.0,0,1.0,0,11,49.0,13,34.0,2,315.1,0.0,26.3,0.0,288.9,1286.8,341.4,892.9,52.5,beloit,"beloit, ks"
,,,,20,2152,Benham Police Dept,KS,12,498.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benham,"benham, ks"
,,benton city,6175,20,2153,Benton Police Dept,KS,12,4341.0,5.0,0,1.0,1,3,105.0,22,80.0,3,115.2,0.0,23.0,23.0,69.1,2418.8,506.8,1842.9,69.1,benton,"benton, ks"
,,,,20,2154,Berea Police Dept,KS,12,13798.0,16.0,0,1.0,4,11,444.0,149,267.0,28,116.0,0.0,7.2,29.0,79.7,3217.9,1079.9,1935.1,202.9,berea,"berea, ks"
,,,,20,2155,Bloomfield Police Dept,KS,12,852.0,0.0,0,0.0,0,0,2.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,234.7,234.7,0.0,0.0,bloomfield,"bloomfield, ks"
,,blue rapids city,7650,20,2156,Blue Rapids Police Dept,KS,5,1012.0,0.0,0,0.0,0,0,2.0,1,1.0,0,,,,,,,,,,blue rapids,"blue rapids, ks"
,,bonner springs city,7975,20,2157,Bonner Springs Police Dept,KS,12,7384.0,20.0,0,2.0,3,15,275.0,30,219.0,26,270.9,0.0,27.1,40.6,203.1,3724.3,406.3,2965.9,352.1,bonner springs,"bonner springs, ks"
,,,,20,2158,Boone County Sheriff Department,KS,12,,55.0,1,22.0,13,19,1399.0,359,952.0,88,,,,,,,,,,boone county,"boone county, ks"
bourbon county,011,,,20,2159,Bourbon County Sheriff Department,KS,12,,17.0,0,3.0,0,14,134.0,57,68.0,9,,,,,,,,,,bourbon county,"bourbon county, ks"
bourbon county,011,,,20,2160,Bourbon County Sheriff Department,KS,12,,0.0,0,0.0,0,0,73.0,30,42.0,1,,,,,,,,,,bourbon county,"bourbon county, ks"
,,,,20,2161,Bowling Green Police Dept,KS,12,59043.0,189.0,4,36.0,75,74,3025.0,547,2322.0,156,320.1,6.8,61.0,127.0,125.3,5123.4,926.4,3932.7,264.2,bowling green,"bowling green, ks"
,,,,20,2162,Boyd County Sheriff Department,KS,12,,11.0,0,1.0,2,8,180.0,53,104.0,23,,,,,,,,,,boyd county,"boyd county, ks"
,,,,20,2163,Boyle County Sheriff Office,KS,12,,9.0,0,1.0,3,5,49.0,24,23.0,2,,,,,,,,,,boyle county,"boyle county, ks"
,,,,20,2164,Bracken County Sheriff Office,KS,12,,1.0,0,0.0,0,1,110.0,45,62.0,3,,,,,,,,,,bracken county,"bracken county, ks"
,,,,20,2165,Brandenburg Police Dept,KS,12,2733.0,4.0,0,0.0,1,3,26.0,3,21.0,2,146.4,0.0,0.0,36.6,109.8,951.3,109.8,768.4,73.2,brandenburg,"brandenburg, ks"
,,,,20,2166,Breckenridge County Sheriff Office,KS,12,,6.0,0,2.0,0,4,30.0,16,10.0,4,,,,,,,,,,breckenridge county,"breckenridge county, ks"
brown county,013,,,20,2167,Brown County Sheriff Department,KS,12,,10.0,1,3.0,0,6,60.0,20,36.0,4,,,,,,,,,,brown county,"brown county, ks"
,,,,20,2168,Brownsville,KS,12,833.0,2.0,0,0.0,0,2,5.0,4,1.0,0,240.1,0.0,0.0,0.0,240.1,600.2,480.2,120.0,0.0,brownsville,"brownsville, ks"
,,buhler city,9200,20,2169,Buhler Police Dept,KS,12,1335.0,0.0,0,0.0,0,0,13.0,0,11.0,2,0.0,0.0,0.0,0.0,0.0,973.8,0.0,824.0,149.8,buhler,"buhler, ks"
,,,,20,2170,Bullitt County Sheriff Office,KS,12,,28.0,0,4.0,6,18,518.0,214,272.0,32,,,,,,,,,,bullitt county,"bullitt county, ks"
,,,,20,2171,Burden Marshal'S Office,KS,12,537.0,0.0,0,0.0,0,0,9.0,3,4.0,2,0.0,0.0,0.0,0.0,0.0,1676.0,558.7,744.9,372.4,burden marshal's office,"burden marshal's office, ks"
,,,,20,2172,Burkesville Police Dept,KS,12,1520.0,0.0,0,0.0,0,0,6.0,3,2.0,1,0.0,0.0,0.0,0.0,0.0,394.7,197.4,131.6,65.8,burkesville,"burkesville, ks"
,,burlingame city,9350,20,2173,Burlingame Police Dept,KS,10,941.0,2.0,0,0.0,0,2,16.0,7,9.0,0,,,,,,,,,,burlingame,"burlingame, ks"
,,burlington city,9400,20,2174,Burlington Police Dept,KS,12,2668.0,7.0,0,0.0,0,7,31.0,3,26.0,2,262.4,0.0,0.0,0.0,262.4,1161.9,112.4,974.5,75.0,burlington,"burlington, ks"
,,,,20,2175,Burnside Police Dept,KS,12,620.0,3.0,1,1.0,0,1,31.0,5,23.0,3,483.9,161.3,161.3,0.0,161.3,5000.0,806.5,3709.7,483.9,burnside,"burnside, ks"
,,bushton city,9700,20,2176,Bushton Police Dept,KS,10,279.0,0.0,0,0.0,0,0,0.0,0,0.0,0,,,,,,,,,,bushton,"bushton, ks"
butler county,015,,,20,2177,Butler,KS,12,,48.0,0,7.0,1,40,605.0,183,377.0,45,,,,,,,,,,butler,"butler, ks"
butler county,015,,,20,2178,Butler County Sheriff Department,KS,12,,6.0,0,1.0,1,4,56.0,25,28.0,3,,,,,,,,,,butler county,"butler county, ks"
,,,,20,2179,Cadiz Police Dept,KS,12,2557.0,9.0,0,1.0,2,6,103.0,21,78.0,4,352.0,0.0,39.1,78.2,234.6,4028.2,821.3,3050.4,156.4,cadiz,"cadiz, ks"
