Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid,subdomain,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,unemployment,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place.1,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
Baltimore City Police Dept,MD,12,625474.0,8789.0,218,315.0,3605,4651,29149.0,7770,17397.0,3982.0,1405.2,34.9,50.4,576.4,743.6,4660.3,1242.3,2781.4,636.6,baltimore city,"baltimore city,MD",16000US2404000,baltimore,0.18542128603104213,0.03713968957871397,0.14329268292682926,5.0,4000.0,24.0,Baltimore,baltimore,maryland,LAUCT240400000000003,9.608333333333334,620843.0,186716.0,393657.0,2623.0,1263.0,3287.0,6709.0,6088.0,7971.0,8739.0,4849.0,57060.0,9617.0,25032.0,6546.0,27195.0,12313.0,5445.0,3988.0,39788.0,16000US2404000,baltimore,baltimore,3608.0,0.36585365853658536,0.5765669866404466,-0.10035569105690964,2.2631549632255807,205.0467530310557,179.50682071243546,-0.03880266075388026,5.047420475772191
Flint City Police Dept,MI,12,101632.0,2774.0,63,108.0,673,1930,5645.0,2979,2207.0,459.0,2729.5,62.0,106.3,662.2,1899.0,5554.4,2931.2,2171.6,451.6,flint city,"flint city,MI",16000US2629000,flint,0.2517241379310345,0.039080459770114935,0.1310344827586207,,29000.0,26.0,Flint,flint,michigan,LAUCT262900000000003,17.000000000000004,101423.0,39965.0,56147.0,428.0,58.0,176.0,485.0,924.0,1055.0,1252.0,739.0,12507.0,2214.0,5218.0,1443.0,2005.0,649.0,131.0,58.0,24758.0,16000US2629000,flint,flint,870.0,0.4218390804597701,0.6145390906875192,-0.19367816091954024,2.123249358050419,171.4874429223653,104.76361674420656,0.11379310344827588,5.742632692836236
Jackson City Police Dept,MI,12,33449.0,256.0,3,23.0,50,180,1368.0,349,946.0,73.0,765.3,9.0,68.8,149.5,538.1,4089.8,1043.4,2828.2,218.2,jackson city,"jackson city,MI",16000US2641420,jacksonmi,0.014084507042253518,0.0035211267605633804,0.02112676056338028,75.0,41420.0,26.0,Jackson,jacksonmi,michigan,LAUCT264142000000003,12.749999999999998,33449.0,23737.0,7647.0,37.0,29.0,65.0,271.0,266.0,378.0,383.0,79.0,3080.0,902.0,1726.0,645.0,819.0,189.0,109.0,12.0,26586.0,16000US2641420,jacksonmi,jacksonmi,284.0,0.03873239436619718,0.19329707323927245,-0.8661971830985915,0.9226545911392524,169.16666666675002,49.41322360135207,-0.9154929577464788,1.4241379898326239
Lansing City Police Dept,MI,12,114688.0,1078.0,13,92.0,203,770,3774.0,1307,2203.0,264.0,939.9,11.3,80.2,177.0,671.4,3290.7,1139.6,1920.9,230.2,lansing city,"lansing city,MI",16000US2646000,lansing,0.05728155339805825,0.02038834951456311,0.1174757281553398,,46000.0,26.0,Lansing,lansing,michigan,LAUCT264600000000003,10.15,113594.0,70092.0,25035.0,615.0,214.0,382.0,566.0,317.0,818.0,1544.0,460.0,8213.0,3220.0,6392.0,2810.0,5033.0,1985.0,524.0,425.0,34420.0,16000US2646000,lansing,lansing,1030.0,0.1951456310679612,0.4450087387959933,-0.3067961165048544,1.9445801751320224,164.47740112994913,47.504612174020785,-0.4932038834951457,3.5942741998215557
Saginaw City Police Dept,MI,12,51267.0,1211.0,27,65.0,167,952,1765.0,1042,618.0,105.0,2362.1,52.7,126.8,325.7,1856.9,3442.8,2032.5,1205.5,204.8,saginaw city,"saginaw city,MI",16000US2670520,saginaw,0.1113490364025696,0.029978586723768737,0.04282655246252677,145.0,70520.0,26.0,Saginaw,saginaw,michigan,LAUCT267052000000003,15.45,51087.0,24051.0,23038.0,311.0,66.0,178.0,248.0,577.0,800.0,828.0,489.0,5904.0,1157.0,1862.0,811.0,869.0,161.0,52.0,51.0,27630.0,16000US2670520,saginaw,saginaw,467.0,0.1841541755888651,0.4495174830806784,-0.7644539614561028,1.1347892505933297,168.73397435896158,43.416991388075154,-0.23768736616702354,4.389955542110535
Duluth City Police Dept,MN,12,86830.0,,2,,90,213,3861.0,642,3047.0,172.0,,2.3,,103.7,245.3,4446.6,739.4,3509.2,198.1,duluth city,"duluth city,MN",16000US2717000,duluth,0.060240963855421686,0.03614457831325301,0.12951807228915665,,17000.0,27.0,Duluth,duluth,minnesota,LAUCT271700000000003,5.575,86221.0,78652.0,2178.0,168.0,16.0,19.0,364.0,302.0,350.0,373.0,250.0,6257.0,1815.0,4828.0,2520.0,5432.0,1418.0,969.0,558.0,40606.0,16000US2717000,duluth,duluth,332.0,0.2259036144578313,0.4917974582350678,-0.27259036144578314,1.9304998118446413,246.96666666665,95.5163039877471,-0.07228915662650602,4.961411534191064
Missoula City Police Dept,MT,12,67758.0,221.0,0,25.0,33,163,3041.0,378,2558.0,105.0,326.2,0.0,36.9,48.7,240.6,4488.0,557.9,3775.2,155.0,missoula city,"missoula city,MT",16000US3050200,missoula,,,,63.0,50200.0,30.0,Missoula,missoula,montana,LAUCT305020000000003,4.9750000000000005,67643.0,62447.0,,43.0,18.0,1.0,85.0,109.0,155.0,93.0,215.0,4312.0,1080.0,4736.0,1479.0,5375.0,2167.0,855.0,764.0,40369.0,16000US3050200,missoula,missoula,,,,,,,,,
Elmira City Police Dept,NY,12,29362.0,104.0,2,1.0,40,61,1192.0,250,923.0,19.0,354.2,6.8,3.4,136.2,207.8,4059.7,851.4,3143.5,64.7,elmira city,"elmira city,NY",16000US3624229,elmira,0.07540983606557378,0.006557377049180328,0.052459016393442616,,24229.0,36.0,Elmira,elmira,new york,LAUCT362422900000003,9.916666666666666,29080.0,23121.0,3950.0,43.0,23.0,27.0,207.0,304.0,514.0,797.0,259.0,3550.0,705.0,992.0,753.0,629.0,320.0,120.0,50.0,29028.0,16000US3624229,elmira,elmira,305.0,0.13442622950819672,0.3694257839351032,-0.6852459016393443,1.3738435406558849,222.18357487917396,226.92477470908452,-0.8295081967213115,2.1082032963907573
Athens City Police Dept,OH,12,23834.0,15.0,0,1.0,8,6,454.0,89,359.0,6.0,62.9,0.0,4.2,33.6,25.2,1904.8,373.4,1506.3,25.2,athens city,"athens city,OH",16000US3902736,athensoh,,0.010256410256410256,0.015384615384615384,9.0,2736.0,39.0,Athens,athensoh,ohio,LAUCT390273600000003,,23623.0,20335.0,,,,,,,,,,,,,,,,,,17986.0,16000US3902736,athensoh,athensoh,195.0,0.02564102564102564,0.21384784637915924,-0.9384615384615383,0.4935748956711597,,,-0.6717948717948717,3.2324026936940222
Tuscarawas County Sheriff Office,OH,12,,7.0,1,2.0,1,3,322.0,170,127.0,25.0,,,,,,,,,,tuscarawas county,"tuscarawas county,OH",05000US39157,tuscarawas,0.02325581395348837,,0.034883720930232565,157.0,,39.0,Tuscarawas County,tuscarawas,ohio,,,92481.0,89889.0,,202.0,31.0,161.0,1021.0,563.0,607.0,1034.0,566.0,15018.0,1783.0,3584.0,1462.0,3184.0,1111.0,242.0,107.0,42636.0,05000US39157,tuscarawas,tuscarawas,172.0,0.05813953488372092,0.2801274214157232,-0.8953488372093024,0.5520630052915206,305.0,179.35068069752808,-1.0,0.0
Bend City Police Dept,OR,6,78458.0,57.0,0,7.0,4,46,611.0,94,498.0,19.0,,,,,,,,,,bend city,"bend city,OR",16000US4105800,bend,0.12034383954154727,0.02005730659025788,0.12607449856733524,,5800.0,41.0,Bend,bend,oregon,LAUCT410580000000003,8.258333333333335,77887.0,72126.0,,136.0,26.0,33.0,353.0,52.0,357.0,337.0,214.0,4838.0,1936.0,5217.0,2064.0,7061.0,2048.0,1150.0,341.0,49576.0,16000US4105800,bend,bend,349.0,0.2664756446991404,0.5034871645197614,-0.2808022922636103,1.9405543225108184,220.98544973545242,34.31466515988891,-0.5415472779369628,3.229999272476838
