Table ID,Sequence Number
C15010C,0065
C15010D,0065
C15010E,0065
C15010F,0065
C15010G,0065
C15010H,0065
C15010I,0065
B16001,0066
B16002,0066
B16003,0066
B16004,0066
C16001,0066
C16003,0066
B16005,0067
B16005A,0067
B16005B,0067
B16005C,0067
B16005D,0067
B16005E,0067
B16005F,0067
B16005G,0067
B16005H,0067
B16005I,0067
B16006,0067
C16004,0067
C16005,0067
C16006,0067
B16007,0068
B16008,0068
B16009,0068
B16010,0068
C16007,0068
C16008,0068
C16009,0068
C16010,0068
B17001,0069
B17001A,0069
B17001B,0069
B17001C,0069
B17001D,0070
B17001E,0070
B17001F,0070
B17001G,0070
B17001H,0071
B17001I,0071
C17001,0071
C17001A,0071
C17001B,0071
C17001C,0071
C17001D,0071
C17001E,0071
B17002,0072
B17003,0072
B17004,0072
B17005,0072
B17006,0072
C17001F,0072
C17001G,0072
C17001H,0072
C17001I,0072
C17002,0072
C17003,0072
C17004,0072
C17006,0072
B17007,0073
B17008,0073
B17009,0073
B17010,0073
B17010A,0073
B17010B,0073
C17007,0073
C17009,0073
B17010C,0074
B17010D,0074
B17010E,0074
B17010F,0074
B17010G,0074
B17010H,0075
B17010I,0075
C17010,0075
C17010A,0075
C17010B,0075
C17010C,0075
C17010D,0075
C17010E,0075
C17010F,0075
C17010G,0075
C17010H,0075
B17011,0076
B17012,0076
B17013,0076
B17014,0076
B17015,0076
C17010I,0076
C17012,0076
C17013,0076
C17014,0076
C17015,0076
B17016,0077
B17017,0077
B17018,0077
B17019,0077
B17020A,0077
B17020B,0077
C17016,0077
C17017,0077
C17018,0077
C17019,0077
B17020C,0078
B17020D,0078
B17020E,0078
B17020F,0078
B17020G,0078
B17020H,0078
B17020I,0078
B17021,0078
C17020A,0078
C17020B,0078
C17020C,0078
C17020D,0078
C17020E,0078
C17020F,0078
C17020G,0078
C17020H,0078
C17020I,0078
B17022,0079
B17023,0079
C17021,0079
C17022,0079
C17023,0079
B17024,0080
B17025,0080
B17026,0080
C17024,0080
C17025,0080
C17026,0080
B18101,0081
B18101A,0081
B18101B,0081
B18101C,0081
B18101D,0081
B18101E,0081
B18101F,0081
B18101G,0081
B18101H,0081
B18101I,0081
B18102,0081
C18101,0081
C18102,0081
B18103,0082
B18104,0082
B18105,0082
B18106,0082
C18103,0082
C18104,0082
C18105,0082
C18106,0082
B18107,0083
B18108,0083
B18120,0083
B18121,0083
B18130,0083
C18107,0083
C18108,0083
C18120,0083
C18121,0083
C18130,0083
B18131,0084
B18135,0084
B18140,0084
C18131,0084
B19001,0085
B19001A,0085
B19001B,0085
B19001C,0085
B19001D,0085
B19001E,0085
B19001F,0085
B19001G,0085
B19001H,0085
B19001I,0085
C19001,0085
C19001A,0085
C19001B,0085
C19001C,0085
C19001D,0085
C19001E,0085
B19013,0086
B19013A,0086
B19013B,0086
B19013C,0086
B19013D,0086
B19013E,0086
B19013F,0086
B19013G,0086
B19013H,0086
B19013I,0086
B19019,0086
B19025,0086
B19025A,0086
B19025B,0086
B19025C,0086
B19025D,0086
B19025E,0086
B19025F,0086
B19025G,0086
B19025H,0086
B19025I,0086
B19037,0086
B19037A,0086
C19001F,0086
C19001G,0086
C19001H,0086
C19001I,0086
B19037B,0087
B19037C,0087
B19037D,0087
B19037E,0088
B19037F,0088
B19037G,0088
B19037H,0089
B19037I,0089
C19037,0089
C19037A,0089
C19037B,0090
C19037C,0090
C19037D,0090
C19037E,0090
C19037F,0090
B19049,0091
